STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3730;1948010101;    5;  -4.0;  76.0;eor
       3730;1948010102;    5;  -4.5;  79.0;eor
       3730;1948010103;    5;  -5.1;  86.0;eor
       3730;1948010104;    5;  -5.0;  88.0;eor
       3730;1948010105;    5;  -5.2;  91.0;eor
       3730;1948010106;    5;  -5.4;  94.0;eor
       3730;1948010107;    5;  -5.0;  84.0;eor
       3730;1948010108;    5;  -5.0;  83.0;eor
       3730;1948010109;    5;  -4.8;  82.0;eor
       3730;1948010110;    5;  -4.6;  84.0;eor
       3730;1948010111;    5;  -3.4;  85.0;eor
       3730;1948010112;    5;  -2.3;  69.0;eor
       3730;1948010113;    5;  -1.7;  69.0;eor
       3730;1948010114;    5;  -1.6;  88.0;eor
       3730;1948010115;    5;  -1.8;  96.0;eor
       3730;1948010116;    5;  -1.8;  96.0;eor
       3730;1948010117;    5;  -1.6;  96.0;eor
       3730;1948010118;    5;  -1.5;  95.0;eor
       3730;1948010119;    5;  -1.2;  96.0;eor
       3730;1948010120;    5;  -0.7;  97.0;eor
       3730;1948010121;    5;  -0.2;  98.0;eor
       3730;1948010122;    5;  -0.2;  98.0;eor
       3730;1948010123;    5;   0.1;  97.0;eor
       3730;1948010200;    5;   0.2;  97.0;eor
       3730;1948010201;    5;   0.4;  96.0;eor
       3730;1948010202;    5;   0.9;  94.0;eor
       3730;1948010203;    5;   1.0;  96.0;eor
       3730;1948010204;    5;   1.2;  96.0;eor
       3730;1948010205;    5;   1.3;  96.0;eor
       3730;1948010206;    5;   1.6;  96.0;eor
       3730;1948010207;    5;   1.4;  97.0;eor
       3730;1948010208;    5;   1.5;  96.0;eor
       3730;1948010209;    5;   1.6;  96.0;eor
       3730;1948010210;    5;   2.0;  95.0;eor
       3730;1948010211;    5;   2.4;  95.0;eor
       3730;1948010212;    5;   2.8;  95.0;eor
       3730;1948010213;    5;   2.9;  96.0;eor
       3730;1948010214;    5;   2.1;  97.0;eor
       3730;1948010215;    5;   2.8;  96.0;eor
       3730;1948010216;    5;   2.5;  96.0;eor
       3730;1948010217;    5;   2.5;  96.0;eor
       3730;1948010218;    5;   3.8;  95.0;eor
       3730;1948010219;    5;   4.2;  93.0;eor
       3730;1948010220;    5;   3.9;  94.0;eor
       3730;1948010221;    5;   4.5;  93.0;eor
       3730;1948010222;    5;   4.6;  92.0;eor
       3730;1948010223;    5;   3.7;  93.0;eor
       3730;1948010300;    5;   3.5;  94.0;eor
       3730;1948010301;    5;   3.5;  94.0;eor
       3730;1948010302;    5;   4.8;  94.0;eor
       3730;1948010303;    5;   4.4;  94.0;eor
       3730;1948010304;    5;   4.9;  94.0;eor
       3730;1948010305;    5;   5.4;  94.0;eor
       3730;1948010306;    5;   5.8;  93.0;eor
       3730;1948010307;    5;   4.8;  95.0;eor
       3730;1948010308;    5;   5.3;  95.0;eor
       3730;1948010309;    5;   4.9;  96.0;eor
       3730;1948010310;    5;   4.5;  96.0;eor
       3730;1948010311;    5;   4.3;  95.0;eor
       3730;1948010312;    5;   4.3;  94.0;eor
       3730;1948010313;    5;   4.0;  96.0;eor
       3730;1948010314;    5;   4.0;  97.0;eor
       3730;1948010315;    5;   4.4;  97.0;eor
       3730;1948010316;    5;   4.0;  96.0;eor
       3730;1948010317;    5;   4.6;  95.0;eor
       3730;1948010318;    5;   3.6;  94.0;eor
       3730;1948010319;    5;   3.9;  95.0;eor
       3730;1948010320;    5;   4.3;  95.0;eor
       3730;1948010321;    5;   3.1;  97.0;eor
       3730;1948010322;    5;   3.1;  97.0;eor
       3730;1948010323;    5;   3.1;  97.0;eor
       3730;1948010400;    5;   2.9;  96.0;eor
       3730;1948010401;    5;   2.9;  96.0;eor
       3730;1948010402;    5;   3.1;  96.0;eor
       3730;1948010403;    5;   3.1;  96.0;eor
       3730;1948010404;    5;   2.2;  97.0;eor
       3730;1948010405;    5;   2.3;  97.0;eor
       3730;1948010406;    5;   2.6;  97.0;eor
       3730;1948010407;    5;   1.6; 100.0;eor
       3730;1948010408;    5;   1.4;  98.0;eor
       3730;1948010409;    5;   1.8;  98.0;eor
       3730;1948010410;    5;   3.7;  94.0;eor
       3730;1948010411;    5;   4.9;  88.0;eor
       3730;1948010412;    5;   6.2;  84.0;eor
       3730;1948010413;    5;   7.7;  76.0;eor
       3730;1948010414;    5;   8.2;  74.0;eor
       3730;1948010415;    5;   6.0;  74.0;eor
       3730;1948010416;    5;   4.4;  79.0;eor
       3730;1948010417;    5;   4.4;  80.0;eor
       3730;1948010418;    5;   3.2;  81.0;eor
       3730;1948010419;    5;   2.3;  87.0;eor
       3730;1948010420;    5;   2.3;  87.0;eor
       3730;1948010421;    5;   2.0;  84.0;eor
       3730;1948010422;    5;   2.0;  87.0;eor
       3730;1948010423;    5;   1.2;  88.0;eor
       3730;1948010500;    5;   2.1;  83.0;eor
       3730;1948010501;    5;   1.2;  85.0;eor
       3730;1948010502;    5;   1.1;  88.0;eor
       3730;1948010503;    5;   0.4;  90.0;eor
